F1,F2,F3,F4,TARGET,X,Y
1.32E-23,11,1,1.06E-21,2,-150,151
6.46E-27,8,4,3.31E-24,2,-157,164
6.78E-21,8,2.78E-17,1.36E-20,2,-152,156
6.62E-24,5,1,1.06E-22,2,-149,154
2.71E-20,5,1,1.08E-19,2,-153,156
2.12E-21,8,2,6.35E-22,2,-151,157
21,8,1,2.65E-22,2,-154,156
8.47E-21,8,2,1.69E-21,2,-156,165
2.02E-27,11,2,3.31E-23,2,-156,155
1.06E-22,11,1,1.02E-20,2,-147,148
6.46E-27,14,2,6.20E-25,2,-157,166
9,11,3,3.39E-21,2,-159,164
20,11,3,1.06E-22,2,-157,160
8.47E-22,8,3.39E-21,3.39E-21,2,-144,143
5,14,8.67E-19,5.42E-19,2,-145,152
18,11,3,6.78E-21,2,-156,167
6.62E-24,11,5.29E-23,2.65E-23,2,-133,135
1.52E-20,8,2,2.12E-21,2,-144,150
3.39E-21,2,3,8.13E-20,2,-150,157
1.36E-20,11,1,1.08E-19,2,-131,133
1.65E-24,14,5.29E-23,3.31E-24,2,-139,139
1.52E-18,8,1,5.20E-18,2,-130,132
1.69E-21,11,2,1.19E-20,2,-144,150
5.20E-18,11,1,6.94E-18,2,-148,160
5.42E-20,11,4.07E-20,1.69E-20,2,-142,145
1.69E-20,14,1.36E-20,1.19E-20,2,-143,146
4,14,2,1.69E-20,2,-143,150
2,8,2,5.29E-22,2,-134,134
2.17E-19,14,1,6.78E-21,2,-136,139
6.62E-23,14,2,2.65E-23,2,-140,147
2.07E-25,14,2,7.94E-23,2,-143,151
8.47E-21,14,2,4.07E-20,2,-144,160
2.12E-22,11,1,6.78E-21,2,-138,141
1.36E-20,14,2,2.71E-20,2,-140,146
1.65E-24,14,2,8.47E-22,2,-140,146
3.39E-20,8,8.13E-20,1.36E-19,2,-136,140
2.65E-23,11,1,4.24E-21,2,-136,138
2.12E-22,11,1,4.24E-22,2,-136,139
1.73E-18,8,2.17E-19,3.79E-19,2,-135,141
8.27E-24,11,2,1.32E-23,2,-141,147
1.08E-19,11,3,1.73E-18,2,-135,143
1.73E-18,14,1,2.17E-19,2,-133,140
2.17E-18,8,1,4.34E-19,2,-139,151
1.36E-20,8,3,4.74E-20,2,-142,78
3.31E-23,14,6,5.96E-23,2,-136,140
5.29E-23,14,8,6.35E-22,2,-151,167
6.78E-21,14,5,3.25E-19,2,-141,144
2.07E-25,11,2,1.65E-23,2,-144,161
6,14,6,7.94E-23,2,-147,154
3.31E-24,14,6,1.32E-23,2,-147,153
2.07E-25,8,2,1.03E-24,2,-146,161
4.24E-22,11,1,2.12E-22,2,-132,131
1.03E-25,11,8.27E-25,5.17E-25,2,-125,123
5.29E-23,11,2.65E-23,2.32E-23,2,-122,118
4.24E-21,8,2.71E-20,6.78E-21,2,-144,154
6,11,8,3.10E-25,2,-99,76
1.32E-23,11,3,1.65E-24,2,-139,144
7.44E-24,14,6,1.59E-22,2,-139,142
2.65E-23,14,5.29E-23,8.47E-22,2,-115,116
1.03E-24,11,3,2.65E-23,2,-125,122
3.31E-24,14,5.29E-23,6.62E-23,2,-124,110
4.14E-24,14,2,3.97E-23,2,-118,102
7.75E-26,11,0.5,7.24E-25,2,-113,90
40,15,1.14E-13,10,3,-158,-139
48,15,0.25,11,3,-160,170
2,6,14,11,3,-140,127
22,3,13,18,3,-157,155
7,0.09375,19,16,3,-156,167
17,6,20,12,3,-155,173
19,0.1875,22,14,3,-164,172
41,9,22,18,3,-158,172
8,12,23,12,3,-149,161
12,12,23,16,3,-147,161
11,12,23,14,3,-148,157
15,9,19,10,3,-157,172
4,15,25,14,3,-155,163
6,18,24,13,3,-149,161
10,18,25,15,3,-158,163
15,21,24,16,3,-158,164
25,21,25,12,3,-148,156
15,30,23,12,3,-151,168
5,39,23,11,3,-160,133
10,30,24,11,3,-156,175
12,18,27,16,3,-159,161
15,36,23,15,3,-158,168
16,18,23,15,3,-161,168
17,15,25,21,3,-166,174
11,12,22,10,3,-150,174
31,15,24,12,3,-158,167
18,12,20,14,3,-147,164
25,18,24,16,3,-159,165
27,18,23,15,3,-160,172
18,21,25,12,3,-155,173
15,12,20,11,3,-139,170
12,21,23,13,3,-165,-63
5,21,28,16,3,-164,-108
7,15,20,12,3,-156,175
15,21,22,13,3,-155,165
5,21,23,16,3,-162,94
9,15,22,12,3,-154,170
22,18,22,18,3,-152,169
17,15,22,18,3,-158,-71
34,12,22,19,3,-160,-126
10,18,20,13,3,-148,135
12,15,22,12,3,-132,161
72,12,17,19,3,-150,169
11,9,16,15,3,-147,149
25,12,20,13,3,-153,5
24,12,19,11,3,-148,161
19,12,22,15,3,-148,138
53,9,18,13,3,-156,-48
15,15,20,14,3,-133,164
20,15,23,19,3,-165,-121
10,15,18,20,3,-155,9
24,12,19,17,3,-156,171
17,12,20,15,3,-151,171
18,18,20,14,3,-153,127
24,15,16,15,3,-159,-26
7,18,19,17,3,-160,-58
12,18,24,11,3,-114,156
20,18,22,13,3,-151,164
22,18,16,12,3,-125,158
10,18,22,21,3,-163,173
7,18,22,18,3,-155,169
16,21,25,19,3,-162,175
17,18,24,21,3,-159,-106
20,18,20,15,3,-158,-114
21,21,20,14,3,-155,174
14,18,22,16,3,-149,167
20,18,22,18,3,-152,169
17,21,23,14,3,-151,69
20,18,23,19,3,-162,51
18,21,20,17,3,-160,165
8,18,18,19,3,-155,168
7,18,22,16,3,-149,171
3,21,23,19,3,-146,165
6,21,23,15,3,-132,164
3,15,19,10,3,-125,152
2,18,19,20,3,-155,175
0.25,24,23,20,3,-156,165
1,24,22,23,3,-161,7
0.000976563,15,23,13,3,-157,24
0.125,24,27,19,3,-167,-57
24,15,30,29,3,160,164
74,21,32,33,3,129,151
3.1875,24,34,29,3,152,146
2.33E-10,15,33,37,3,167,176
2,21,34,30,3,168,-111
8,21,34,35,3,166,173
22,27,37,37,3,38,176
7,21,35,37,3,173,174
19,12,35,42,3,174,176
37,12,24,34,3,157,165
25,18,24,36,3,168,170
50,15,32,34,3,166,169
37,24,35,48,3,164,79
31,9,20,33,3,-125,-122
50,12,28,34,3,155,-108
25,24,32,35,3,-170,-144
37,27,30,38,3,164,159
43,24,33,35,3,-152,172
43,24,34,38,3,-166,171
37,24,33,32,3,25,78
56,18,32,41,3,98,-7
37,24,33,42,3,168,33
31,18,34,45,3,-134,149
31,21,34,47,3,-136,-45
50,18,34,47,3,7,-87
12,21,28,29,3,-78,174
25,18,24,51,3,52,157
43,15,30,39,3,-21,61
25,21,34,35,3,87,102
50,18,33,31,3,87,125
50,21,30,33,3,-148,-120
43,21,33,32,3,171,-45
56,24,34,36,3,-165,-150
37,21,24,34,3,-163,-140
31,21,19,31,3,-143,-91
31,18,22,36,3,-147,-130
42,18,32,41,3,-73,-147
38,15,29,33,3,-157,-74
27,21,30,36,3,-144,-142
41,15,32,35,3,157,-157
49,21,32,37,3,137,-21
50,21,32,35,3,172,-122
53,21,29,32,3,-42,-154
35,24,33,34,3,172,-125
51,24,38,36,3,175,-135
61,21,33,35,3,168,-160
