F1,F2,F3,F4,X,Y,TARGET
31,43,30,25,-147,161,2
38,27,32,26,-150,160,2
26,39,35,23,-156,153,2
26,27,34,22,-161,168,2
6,0.1875,7,2,-149,-135,3
6,3,0.000244141,3,-132,-120,3
5,3,7,3,-141,-130,3
16,3,7,5,-142,-137,3
15,1.85E-22,12,1.39E-17,-134,-129,3
2,5.65E-27,9,9,-147,-143,3
1.53E-05,6.51E-19,10,2,-147,-122,3
8,9.26E-23,7,7,-143,-140,3
11,7,15,8,-143,-140,3
15,0.375,17,11,-134,-129,3
13,1.19E-20,15,13,-138,-136,3
14,4.96E-24,15,15,-125,-121,3
22,8.13E-20,15,10,-131,-124,3
20,0.375,9,11,-142,-142,3
22,3,14,10,-120,-118,3
37,8.08E-27,15,8,-122,-122,3
22,5.08E-21,17,11,-123,-108,3
27,3,18,16,-124,-119,3
4,1.30E-18,15,11,-138,-119,3
5,3.62E-25,20,18,-144,-151,3
5,0.375,31,21,-152,-158,3
12,2.83E-27,23,16,-135,-133,3
6,5.20E-18,7,12,-142,-120,3
4,3,6,18,-128,-121,3
7,1.94E-26,12,24,-144,-144,3
7,4.96E-24,12,22,-139,-135,3
3,0.09375,12,23,-140,-137,3
9,3,21,27,-146,-139,3
5,1.94E-26,14,20,-144,-139,3
12,1.5,7,24,-149,-151,3
6,3,12,17,-140,-136,3
5.55E-17,3,15,30,-155,-154,3
2.78E-17,3,15,23,-141,-136,3
1,3,17,24,-152,-145,3
8,3,20,26,-157,-154,3
5,4.63E-23,15,21,-151,-145,3
1,3,21,22,-155,-151,3
1,7,21,22,-149,-149,3
4,7,18,16,-158,-158,3
12,7,25,21,-151,-150,3
14,3,23,15,-136,-134,3
19,3,21,27,-154,-150,3
30,0.01171875,17,4,-142,-142,3
20,7,21,24,-152,-143,3
30,3.97E-23,21,31,-150,-148,3
20,9.69E-27,17,30,-157,-163,3
27,3,20,21,-139,-135,3
36,7,23,25,-153,-145,3
58,1.24E-24,21,10,-132,-125,3
23,0.0234375,7,16,-128,-122,3
16,9.05E-26,14,23,-143,-140,3
16,5.93E-21,12,23,-138,-129,3
7,1.5,9,23,-146,-136,3
12,2.03E-20,14,29,-158,153,3
12,1.19E-20,12,25,-148,-141,3
17,2.37E-20,14,29,-143,-141,3
15,3,14,25,-148,-146,3
15,4.14E-24,10,23,-129,-128,3
21,5.79E-24,14,7,-120,-116,3
27,0.09375,23,19,-122,-107,3
48,3,20,13,-136,-127,3
24,1.94E-26,20,5,-128,-125,3
4,10,14,20,-117,-119,3
24,7,20,11,-103,-100,3
1,0.0234375,20,20,-140,-132,3
7.45E-08,0.75,31,15,-156,-150,3
2,8.13E-20,23,22,-148,-127,3
9,3,17,29,-160,-152,3
6,7,15,28,-141,-135,3
25,3,12,28,-153,-146,3
24,3.97E-23,18,23,-142,-119,3
16,1.81E-25,14,21,-144,-141,3
11,7.94E-23,18,15,-149,-139,3
16,6.20E-25,7,16,-152,-140,3
2,3.71E-22,18,25,-145,-137,3
22,1.19E-20,17,45,-153,-142,3
17,1.94E-26,17,14,-151,-144,3
41,4.07E-20,15,32,-165,-150,3
4,3.79E-19,20,32,-152,-150,3
6,3.23E-26,23,33,-159,-154,3
10,3.62E-25,18,12,-139,-133,3
15,1.16E-23,20,12,-150,-140,3
15,9.16E-05,34,11,-150,-135,3
5,6.20E-25,25,19,-154,-142,3
10,1.27E-21,20,16,-146,-137,3
12,1.90E-19,28,28,-152,-132,3
15,0.0234375,25,16,-140,-135,3
16,1.85E-22,25,24,-150,-142,3
11,1.24E-24,18,16,-156,-144,3
31,5.17E-25,25,19,-153,-143,3
18,6.20E-25,23,16,-146,-135,3
27,4.04E-27,25,14,-144,-136,3
18,1.41E-27,32,28,-154,-154,3
5,4.16E-17,23,28,-154,-128,3
7,2.96E-21,17,25,-160,-155,3
15,5.79E-24,26,32,-165,-149,3
